iter	Logloss
0	0.6925835584
1	0.6919305107
2	0.6913531582
3	0.6907614802
4	0.6901419179
5	0.6895248482
6	0.6889591968
7	0.6883909297
8	0.6877964934
9	0.6872203481
10	0.6866652479
11	0.6860791297
12	0.6855879485
13	0.6850456433
14	0.6844779253
15	0.6839460057
16	0.6834385672
17	0.6829058973
18	0.6823532468
19	0.6818105777
20	0.6812876738
21	0.6807465205
22	0.680252362
23	0.6798271815
24	0.6793441893
25	0.6788777549
26	0.6783892437
27	0.6779328164
28	0.6774295668
29	0.6769714184
30	0.6764802384
31	0.6760285915
32	0.6756259471
33	0.6751609266
34	0.6747057732
35	0.6742379007
36	0.6737561317
37	0.6732835774
38	0.6728505069
39	0.6724358325
40	0.6720141632
41	0.6715700143
42	0.6711826566
43	0.6707674681
44	0.6703302451
45	0.6699547509
46	0.669538921
47	0.6691596768
48	0.6687484661
49	0.6683958102
50	0.6680064663
51	0.6676578609
52	0.6672327033
53	0.6668243048
54	0.6664523616
55	0.6660511435
56	0.6656671025
57	0.66532841
58	0.6649471728
59	0.6646250477
60	0.664289764
61	0.6639707886
62	0.6636198916
63	0.6632294054
64	0.662878577
65	0.6625431883
66	0.6621646232
67	0.6618230982
68	0.6614914071
69	0.6611238427
70	0.6607629005
71	0.660399232
72	0.6600929575
73	0.6597503194
74	0.6594453559
75	0.6590977675
76	0.6587870717
77	0.6584392438
78	0.6581135922
79	0.6577956605
80	0.6574536674
81	0.6571260954
82	0.656811796
83	0.6565032932
84	0.6561713311
85	0.6558466475
86	0.6555696729
87	0.655267528
88	0.6549805722
89	0.6546971634
90	0.6543824459
91	0.6540792318
92	0.6537837611
93	0.6535409212
94	0.6532362024
95	0.6529361137
96	0.6526374607
97	0.6523924844
98	0.6521051576
99	0.6518724748
100	0.6516209848
101	0.6513719692
102	0.6510754535
103	0.6507905309
104	0.6505298991
105	0.6502807264
106	0.6499976873
107	0.6497568443
108	0.6494857031
109	0.6492304141
110	0.6489714387
111	0.6487352653
112	0.6485073112
113	0.6482480049
114	0.6479910464
115	0.6477503606
116	0.6474732272
117	0.6472586458
118	0.6470255106
119	0.6467786389
120	0.6465600768
121	0.6463100744
122	0.6460557111
123	0.645828708
124	0.6456060465
125	0.6453493711
126	0.6451559149
127	0.6449057172
128	0.6446664224
129	0.6444614969
130	0.644255384
131	0.6440226866
132	0.6438628012
133	0.6436739276
134	0.6434737177
135	0.6432461555
136	0.6430303587
137	0.6428170213
138	0.6426102417
139	0.6424326402
140	0.642208534
141	0.6419954648
142	0.6417947404
143	0.6415782613
144	0.6413964854
145	0.6411762386
146	0.6409726491
