iter	Passed	Remaining
0	142	1424726
1	149	746189
2	156	519900
3	162	405820
4	168	337475
5	175	291837
6	182	260111
7	188	235710
8	195	216954
9	203	202944
10	210	190910
11	216	180402
12	223	171421
13	230	164298
14	236	157676
15	244	152425
16	251	147398
17	257	143020
18	264	138868
19	270	135181
20	278	132278
21	285	129317
22	291	126388
23	297	123681
24	304	121585
25	311	119621
26	319	117929
27	326	116218
28	333	114537
29	340	113146
30	347	111654
31	354	110410
32	361	109173
33	368	107989
34	374	106698
35	381	105634
36	388	104522
37	395	103625
38	402	102734
39	409	102022
40	417	101456
41	424	100759
42	432	100121
43	439	99458
44	446	98820
45	453	98230
46	461	97669
47	468	97078
48	475	96603
49	482	96102
50	490	95595
51	497	95093
52	504	94635
53	511	94205
54	517	93660
55	524	93211
56	531	92728
57	538	92341
58	545	91956
59	552	91476
60	558	91026
61	565	90567
62	571	90196
63	578	89796
64	584	89378
65	591	89000
66	598	88670
67	605	88412
68	612	88096
69	618	87693
70	624	87380
71	631	87024
72	638	86768
73	644	86514
74	651	86183
75	657	85867
76	663	85546
77	670	85304
78	677	85046
79	683	84773
80	689	84450
81	696	84197
82	703	84052
83	710	83854
84	717	83641
85	724	83500
86	731	83300
87	737	83096
88	743	82822
89	749	82577
90	756	82372
91	763	82221
92	770	82077
93	776	81870
94	782	81636
95	789	81409
96	796	81297
97	803	81213
98	810	81085
99	817	80911
100	823	80735
101	830	80614
102	837	80443
103	843	80286
104	849	80098
105	856	79914
106	863	79854
107	870	79710
108	876	79571
109	882	79367
110	889	79203
111	896	79121
112	903	79009
113	909	78865
114	915	78730
115	922	78617
116	929	78519
117	935	78382
118	942	78242
119	948	78092
120	955	78000
121	962	77917
122	968	77804
123	975	77691
124	982	77608
125	988	77498
126	995	77406
127	1001	77264
128	1007	77130
129	1014	77008
130	1020	76877
131	1027	76813
132	1033	76685
133	1039	76556
134	1046	76454
135	1052	76351
136	1059	76270
137	1065	76169
138	1072	76079
139	1078	75948
140	1084	75828
141	1091	75776
142	1097	75670
143	1104	75607
144	1111	75526
145	1117	75436
146	1124	75378
147	1130	75277
148	1137	75233
149	1144	75143
150	1151	75075
151	1157	74988
152	1164	74940
153	1170	74857
154	1176	74740
155	1183	74677
156	1190	74634
157	1197	74565
158	1204	74538
159	1211	74480
160	1217	74418
161	1224	74366
162	1230	74277
163	1237	74240
164	1244	74167
165	1250	74078
166	1257	74017
167	1263	73964
168	1270	73893
169	1276	73815
170	1283	73755
171	1289	73709
172	1296	73660
173	1303	73595
174	1309	73536
175	1316	73472
176	1323	73460
177	1331	73447
178	1337	73403
179	1344	73344
180	1351	73322
181	1358	73268
182	1364	73219
183	1370	73136
184	1376	73045
185	1383	73023
186	1390	72971
187	1397	72932
188	1404	72899
189	1411	72893
190	1418	72871
191	1426	72869
192	1433	72860
193	1441	72876
194	1449	72876
195	1456	72875
196	1463	72821
197	1469	72767
198	1476	72706
199	1482	72650
200	1488	72578
201	1495	72549
202	1502	72509
203	1508	72454
204	1515	72403
205	1521	72355
206	1528	72316
207	1535	72276
208	1541	72215
209	1548	72189
210	1555	72152
211	1562	72130
212	1568	72050
213	1574	71989
214	1581	71962
215	1587	71896
216	1594	71876
217	1601	71847
218	1607	71784
219	1614	71772
220	1621	71728
221	1626	71660
222	1633	71611
223	1639	71548
224	1646	71512
225	1652	71459
226	1658	71415
227	1664	71350
228	1671	71319
229	1678	71295
230	1684	71238
231	1691	71217
232	1697	71172
233	1705	71180
234	1713	71197
235	1720	71163
236	1726	71118
237	1732	71072
238	1738	71018
239	1745	70993
240	1751	70941
241	1757	70885
242	1764	70849
243	1770	70789
244	1776	70736
245	1782	70682
246	1788	70621
247	1795	70587
248	1801	70548
249	1808	70530
250	1815	70505
251	1821	70454
252	1828	70432
253	1834	70399
254	1841	70374
255	1847	70322
256	1853	70277
257	1859	70214
258	1873	70453
259	1879	70417
260	1886	70403
261	1892	70353
262	1899	70309
263	1906	70296
264	1912	70253
265	1918	70218
266	1925	70177
267	1931	70156
268	1938	70113
269	1943	70046
270	1950	70013
271	1956	69967
272	1962	69919
273	1969	69910
274	1975	69877
275	1982	69834
276	1988	69782
277	1994	69745
278	2001	69733
279	2007	69696
280	2014	69661
281	2020	69620
282	2026	69567
283	2032	69550
284	2039	69523
285	2045	69479
286	2051	69436
287	2057	69395
288	2064	69380
289	2070	69340
290	2077	69305
291	2083	69269
292	2090	69262
293	2097	69246
294	2104	69224
295	2110	69188
296	2116	69146
297	2122	69101
298	2128	69055
299	2135	69040
300	2141	69016
301	2147	68974
302	2153	68926
303	2159	68891
304	2166	68874
305	2173	68865
306	2180	68856
307	2187	68831
308	2194	68814
309	2200	68775
310	2206	68734
311	2212	68688
312	2217	68637
313	2224	68607
314	2230	68592
315	2237	68574
316	2244	68548
317	2250	68510
318	2256	68471
319	2262	68438
320	2269	68418
321	2275	68396
322	2282	68368
323	2288	68337
324	2294	68316
325	2301	68287
326	2307	68253
327	2313	68224
328	2320	68202
329	2326	68179
330	2333	68154
331	2339	68113
332	2345	68093
333	2352	68076
334	2359	68063
335	2365	68038
336	2371	68002
337	2377	67976
338	2385	67971
339	2392	67963
340	2398	67943
341	2405	67922
342	2412	67925
343	2419	67923
344	2427	67931
345	2434	67937
346	2441	67922
347	2447	67893
348	2454	67882
349	2460	67850
350	2467	67822
351	2473	67791
352	2479	67761
353	2486	67746
354	2492	67726
355	2499	67703
356	2506	67699
357	2512	67669
358	2518	67638
359	2525	67630
360	2532	67610
361	2538	67584
362	2545	67565
363	2551	67534
364	2557	67510
365	2563	67488
366	2569	67452
367	2576	67434
368	2582	67403
369	2588	67369
370	2594	67345
371	2601	67319
372	2607	67308
373	2613	67276
374	2620	67263
375	2626	67239
376	2633	67211
377	2639	67182
378	2645	67152
379	2652	67148
380	2658	67119
381	2664	67092
382	2670	67067
383	2677	67046
384	2684	67039
385	2690	67018
386	2697	67001
387	2704	66999
388	2710	66963
389	2717	66960
390	2723	66937
391	2730	66926
392	2736	66903
393	2743	66884
394	2750	66882
395	2756	66844
396	2761	66808
397	2768	66783
398	2774	66767
399	2781	66759
400	2787	66730
401	2794	66711
402	2800	66696
403	2807	66677
404	2814	66672
405	2820	66648
406	2826	66617
407	2832	66594
408	2838	66564
409	2845	66549
410	2851	66538
411	2858	66516
412	2864	66485
413	2870	66457
414	2876	66444
415	2882	66418
416	2889	66413
417	2896	66391
418	2902	66372
419	2909	66359
420	2915	66342
421	2921	66315
422	2928	66306
423	2934	66278
424	2940	66245
425	2947	66234
426	2953	66215
427	2959	66181
428	2965	66166
429	2972	66150
430	2979	66144
431	2985	66128
432	2992	66119
433	2999	66109
434	3005	66095
435	3011	66067
436	3018	66044
437	3024	66022
438	3030	65996
439	3036	65968
440	3042	65952
441	3048	65929
442	3054	65904
443	3061	65891
444	3068	65876
445	3074	65869
446	3081	65857
447	3087	65825
448	3093	65806
449	3099	65780
450	3106	65776
451	3112	65755
452	3118	65732
453	3125	65717
454	3132	65709
455	3139	65704
456	3145	65687
457	3151	65664
458	3157	65633
459	3164	65634
